State or Country,Region,Subregion,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
california,sfbay,pen,apts & housing for rent,7142866957,None,Stunning Home in Menlo Oaks,https://sfbay.craigslist.org/pen/apa/d/menlo-park-stunning-home-in-menlo-oaks/7142866957.html,2020-07-14,09:32,$24000,menlo park,True,None,5,5900ft2
california,sfbay,pen,apts & housing for rent,7151830265,None,Located on quiet-cul-de-sac,https://sfbay.craigslist.org/pen/apa/d/menlo-park-located-on-quiet-cul-de-sac/7151830265.html,2020-07-18,16:13,$1875,menlo park,True,None,None,None
california,sfbay,pen,apts & housing for rent,7153540913,7124977933,"Beautiful 3bedrooms+bonus room, 2 full baths, Single Family Home",https://sfbay.craigslist.org/pen/apa/d/menlo-park-beautiful-3bedroomsbonus/7153540913.html,2020-07-18,22:24,$4380,menlo park,True,None,3,1200ft2
california,sfbay,pen,apts & housing for rent,7154600282,940832217,Charming 1BR/1BA in Downtown Menlo Park,https://sfbay.craigslist.org/pen/apa/d/menlo-park-charming-1br-1ba-in-downtown/7154600282.html,2020-07-16,16:03,$2100,menlo park,True,None,1,None
california,sfbay,pen,apts & housing for rent,7155208974,7134772812,Cottage in Menlo Park,https://sfbay.craigslist.org/pen/apa/d/menlo-park-cottage-in-menlo-park/7155208974.html,2020-07-15,13:42,$2900,menlo park,True,None,1,None
california,sfbay,pen,apts & housing for rent,7155209161,7079256684,1 Bedroom Walk To Downtown!!,https://sfbay.craigslist.org/pen/apa/d/menlo-park-1-bedroom-walk-to-downtown/7155209161.html,2020-07-15,13:42,$2150,menlo park,True,None,1,None
california,sfbay,pen,apts & housing for rent,7156387427,7108874184,Prime Menlo Park Location! | 1035 Laurel St #4,https://sfbay.craigslist.org/pen/apa/d/menlo-park-prime-menlo-park-location/7156387427.html,2020-07-17,11:27,$2750,menlo park,True,None,2,None
california,sfbay,pen,apts & housing for rent,7157146392,7148825932,Renovated Executive 1 bedroom in great building and location! Wave2,https://sfbay.craigslist.org/pen/apa/d/menlo-park-renovated-executive-1/7157146392.html,2020-07-16,10:11,$3495,menlo park,True,None,1,775ft2
california,sfbay,pen,apts & housing for rent,7157920056,7137655604,Fabulous 5BR 3BA in Fair Oaks/Atherton neighborhood,https://sfbay.craigslist.org/pen/apa/d/menlo-park-fabulous-5br-3ba-in-fair/7157920056.html,2020-07-18,07:13,$6500,menlo park,True,None,5,2500ft2
california,sfbay,pen,apts & housing for rent,7158173635,None,Large family home in Menlo Park,https://sfbay.craigslist.org/pen/apa/d/menlo-park-large-family-home-in-menlo/7158173635.html,2020-07-12,14:00,$9800,menlo park,True,None,4,3000ft2
california,sfbay,pen,apts & housing for rent,7158273619,7150923175,"Breathtaking, safe, sunny apartment room in Menlo Park, 17th Aug",https://sfbay.craigslist.org/pen/apa/d/menlo-park-breathtaking-safe-sunny/7158273619.html,2020-07-12,17:20,$1000,menlo park,True,None,2,300ft2
california,sfbay,pen,apts & housing for rent,7158614838,7074899922,"Great 2 bedroom for rent , Lovely Menlo Park",https://sfbay.craigslist.org/pen/apa/d/menlo-park-great-2-bedroom-for-rent/7158614838.html,2020-07-13,10:27,$2925,menlo park,True,None,2,900ft2
california,sfbay,pen,apts & housing for rent,7158615521,7011050495,Cute 1 bedroom Right Downtown Menlo Park,https://sfbay.craigslist.org/pen/apa/d/menlo-park-cute-1-bedroom-right/7158615521.html,2020-07-13,10:28,$2375,menlo park,True,None,1,550ft2
california,sfbay,pen,apts & housing for rent,7158772505,None,Charming 1 bedroom apartment in downtown Menlo Park!!,https://sfbay.craigslist.org/pen/apa/d/menlo-park-charming-1-bedroom-apartment/7158772505.html,2020-07-13,14:18,$715,menlo park,False,None,1,None
california,sfbay,pen,apts & housing for rent,7158996615,7150715817,Quiet sunny updated 1 bedroom apartment in Downtown Menlo Park,https://sfbay.craigslist.org/pen/apa/d/menlo-park-quiet-sunny-updated-1/7158996615.html,2020-07-14,00:51,$715,menlo park,False,None,1,None
california,sfbay,pen,apts & housing for rent,7159075882,None,"++1 bed, 1 bath apt- Cat ok!",https://sfbay.craigslist.org/pen/apa/d/menlo-park-1-bed-1-bath-apt-cat-ok/7159075882.html,2020-07-19,08:52,$0,Menlo park,True,None,1,600ft2
california,sfbay,pen,apts & housing for rent,7159975555,None,Need a place to safely live in my van,https://sfbay.craigslist.org/eby/apa/d/menlo-park-need-place-to-safely-live-in/7159975555.html,2020-07-15,14:02,$500,fremont / union city / newark,False,None,None,None
california,sfbay,pen,apts & housing for rent,7160072788,7108900736,"1 bedroom, 1 bathroom in Menlo Park! ""BT Properties""",https://sfbay.craigslist.org/pen/apa/d/menlo-park-1-bedroom-1-bathroom-in/7160072788.html,2020-07-15,16:56,$2195,menlo park,True,None,1,None
california,sfbay,pen,apts & housing for rent,7160634398,None,In Law Unit,https://sfbay.craigslist.org/pen/apa/d/menlo-park-in-law-unit/7160634398.html,2020-07-16,15:39,$1900,atherton,False,None,1,None
california,sfbay,pen,apts & housing for rent,7160655732,6935620446,PRIVATE ~ NO SHARED WALLS  ~STUDIO ~ CLOSE TO STANFORD,https://sfbay.craigslist.org/pen/apa/d/menlo-park-private-no-shared-walls/7160655732.html,2020-07-16,16:20,$1850,menlo park,True,None,None,500ft2
california,sfbay,pen,apts & housing for rent,7160928260,7147590926,Remodeled 1 Bedroom,https://sfbay.craigslist.org/pen/apa/d/menlo-park-remodeled-1-bedroom/7160928260.html,2020-07-17,08:18,$2250,menlo park,True,None,1,None
california,sfbay,pen,apts & housing for rent,7160930314,None,Sunday open house! Today!  ready to move in!,https://sfbay.craigslist.org/pen/apa/d/menlo-park-sunday-open-house-today/7160930314.html,2020-07-19,11:48,$2300,menlo park,True,None,1,600ft2
california,sfbay,pen,apts & housing for rent,7160968088,None,"3 beds 1 bath 1,070 sqft home",https://sfbay.craigslist.org/pen/apa/d/menlo-park-3-beds-1-bath-1070-sqft-home/7160968088.html,2020-07-17,11:04,$3200,menlo park,True,None,None,None
california,sfbay,pen,apts & housing for rent,7161091075,6744158116,$2495 HALF OFF FIRST MONTHS RENT - CLICK NOW!!,https://sfbay.craigslist.org/pen/apa/d/menlo-park-2495-half-off-first-months/7161091075.html,2020-07-17,11:50,$2445,menlo park,True,None,1,600ft2
california,sfbay,pen,apts & housing for rent,7161091618,6744158116,$2445 HALF OFF FIRST MONTHS RENT - CLICK NOW!!,https://sfbay.craigslist.org/pen/apa/d/menlo-park-2445-half-off-first-months/7161091618.html,2020-07-17,11:51,$2445,menlo park,True,None,1,600ft2
california,sfbay,pen,apts & housing for rent,7161092331,6744158116,HALF OFF FIRST MONTHS RENT - CLICK NOW!!,https://sfbay.craigslist.org/pen/apa/d/menlo-park-half-off-first-months-rent/7161092331.html,2020-07-17,11:52,$2400,menlo park,True,None,1,600ft2
california,sfbay,pen,apts & housing for rent,7161100765,None,Beautiful 3/1 Home surrounded by Fruit Trees,https://sfbay.craigslist.org/pen/apa/d/menlo-park-beautiful-3-1-home/7161100765.html,2020-07-17,12:13,$4575,menlo park,True,None,3,1210ft2
california,sfbay,pen,apts & housing for rent,7161104316,None,MOVE-IN SPECIALS AVAILABLE ** - UPDATED 1 BEDROOM WITH BALCONY,https://sfbay.craigslist.org/pen/apa/d/menlo-park-move-in-specials-available/7161104316.html,2020-07-17,12:44,$2795,menlo park,True,None,None,680ft2
california,sfbay,pen,apts & housing for rent,7161106283,None,** MOVE-IN SPECIALS AVAILABLE *Updated 1 Bedroom with Balcony,https://sfbay.craigslist.org/pen/apa/d/menlo-park-move-in-specials-available/7161106283.html,2020-07-17,12:48,$2795,menlo park,True,None,1,695ft2
california,sfbay,pen,apts & housing for rent,7161109492,None,** MOVE-IN SPECIALS AVAILABLE ** - Menlo Park - The Pines Apts,https://sfbay.craigslist.org/pen/apa/d/menlo-park-move-in-specials-available/7161109492.html,2020-07-17,12:26,$2395,menlo park,True,None,None,485ft2
