,state_or_country,region,subregion,housing_category,post_id,repost_of_post_id,title,url,date_posted,time_posted,price,location,post_has_image,post_has_geotag,bedrooms,area
398,california,sfbay,pen,apts & housing for rent,7159898360,None,Move-In Special,https://sfbay.craigslist.org/pen/apa/d/menlo-park-move-in-special/7159898360.html,2020-07-15 00:00:00,1900-01-01 12:14:00,2595,menlo park,True,None,2,950ft2
502,california,sfbay,pen,apts & housing for rent,7142445443,None,"Charming 2 Bed, 1 Bath Updated Unit Located In Cul-de Sac",https://sfbay.craigslist.org/pen/apa/d/atherton-charming-2-bed-1-bath-updated/7142445443.html,2020-07-15 00:00:00,1900-01-01 10:55:00,2425,redwood city,True,None,2,720ft2
663,california,sfbay,pen,apts & housing for rent,7157714171,None,2 Bedroom Fun Late 20s,https://sfbay.craigslist.org/pen/apa/d/redwood-city-2-bedroom-fun-late-20s/7157714171.html,2020-07-18 00:00:00,1900-01-01 15:01:00,2300,redwood city,True,None,2,None
710,california,sfbay,pen,apts & housing for rent,7156877899,None,HUGE! 2 bd 2 ba Westside Patio- Pool- Hardwood!,https://sfbay.craigslist.org/pen/apa/d/redwood-city-huge-2-bd-2-ba-westside/7156877899.html,2020-07-18 00:00:00,1900-01-01 21:26:00,2750,redwood city,True,None,2,None
844,california,sfbay,pen,apts & housing for rent,7156544227,None,Bright and beautiful top floor corner unit! $2595,https://sfbay.craigslist.org/pen/apa/d/redwood-city-bright-and-beautiful-top/7156544227.html,2020-07-14 00:00:00,1900-01-01 08:58:00,2595,redwood city,True,None,2,700ft2
862,california,sfbay,pen,apts & housing for rent,7142318779,None,Spacious 2BR apartment West of El Camino $2575,https://sfbay.craigslist.org/pen/apa/d/redwood-city-spacious-2br-apartment/7142318779.html,2020-07-14 00:00:00,1900-01-01 08:58:00,2575,redwood city,True,None,2,750ft2
934,california,sfbay,pen,apts & housing for rent,7160705354,None,"$2800 two bedrooms one bath, 600 square feet",https://sfbay.craigslist.org/pen/apa/d/palo-alto-2800-two-bedrooms-one-bath/7160705354.html,2020-07-16 00:00:00,1900-01-01 18:10:00,2800,east palo alto,True,None,2,600ft2
969,california,sfbay,pen,apts & housing for rent,7155275856,None,2 Bedroom 1 Bath home in Redwood City,https://sfbay.craigslist.org/pen/apa/d/redwood-city-2-bedroom-1-bath-home-in/7155275856.html,2020-07-15 00:00:00,1900-01-01 19:08:00,2195,redwood city,True,None,2,544ft2
1033,california,sfbay,pen,apts & housing for rent,7150605469,None,Spacious 2 Bedroom - Centrally Located - Close to San Antonio Shopping,https://sfbay.craigslist.org/pen/apa/d/palo-alto-spacious-2-bedroom-centrally/7150605469.html,2020-07-17 00:00:00,1900-01-01 14:21:00,2795,palo alto,True,None,2,820ft2
1063,california,sfbay,pen,apts & housing for rent,7150821801,None,Spacious 2 Bedroom 2 Bath- Nr Red Morton Park,https://sfbay.craigslist.org/pen/apa/d/redwood-city-spacious-2-bedroom-2-bath/7150821801.html,2020-07-17 00:00:00,1900-01-01 23:23:00,2650,redwood city,True,None,2,None
1423,california,sfbay,pen,apts & housing for rent,7161780579,None,GOING FAST! ONE MONTH FREE! Two Bedroom w/Private Balcony,https://sfbay.craigslist.org/pen/apa/d/redwood-city-going-fast-one-month-free/7161780579.html,2020-07-18 00:00:00,1900-01-01 14:06:00,2769,redwood city,True,None,2,875ft2
1425,california,sfbay,pen,apts & housing for rent,7161609840,None,"ONE MONTH FREE! Tour Today! Extra Large Two Bedroom, Pets Welcome!",https://sfbay.craigslist.org/pen/apa/d/redwood-city-one-month-free-tour-today/7161609840.html,2020-07-18 00:00:00,1900-01-01 10:05:00,2779,redwood city,True,None,2,920ft2
1435,california,sfbay,pen,apts & housing for rent,7144102655,None,*CORNER UNIT* 2 Bedroom w/ Private Balcony & Granite Countertops!,https://sfbay.craigslist.org/pen/apa/d/palo-alto-corner-unit-2-bedroom-private/7144102655.html,2020-07-16 00:00:00,1900-01-01 12:05:00,2745,mountain view,True,None,2,900ft2
1438,california,sfbay,pen,apts & housing for rent,7144124696,None,Spacious 2br with large private patio! Close to San Antonio shopping!,https://sfbay.craigslist.org/pen/apa/d/palo-alto-spacious-2br-with-large/7144124696.html,2020-07-16 00:00:00,1900-01-01 12:05:00,2645,mountain view,True,None,2,900ft2
1441,california,sfbay,pen,apts & housing for rent,7144136813,None,Spacious 2 bedroom w/ Private Balcony & Granite Countertops,https://sfbay.craigslist.org/pen/apa/d/palo-alto-spacious-2-bedroom-private/7144136813.html,2020-07-16 00:00:00,1900-01-01 12:05:00,2695,mountain view,True,None,2,900ft2
