INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-09 18:04
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-09 18:07
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-09 18:12
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-09 18:16
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-09 18:17
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-09 18:58
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-09 19:01
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-09 21:56
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-10 08:48
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-10 23:21
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-10 23:22
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-10 23:22
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-10 23:22
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-10 23:23
