CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
California,sfbay,nby,apts & housing for rent,6975079520,None,"Tear Drop Lighting, Pool Side Community BBQ, Quartz Countertops",https://sfbay.craigslist.org/nby/apa/d/santa-rosa-tear-drop-lighting-pool-side/6975079520.html,2019-09-15,23:08,$2360,None,True,None,2,1021ft2
California,sfbay,nby,apts & housing for rent,6971771657,None,2br / 1ba - Apartment - 1135 Slater Street Unit 15,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-2br-1ba-apartment-slater/6971771657.html,2019-09-15,22:06,$1705,santa rosa,True,None,2,None
California,sfbay,nby,apts & housing for rent,6979585275,None,Spacious Lower Level Home Near St. Helena Hospital,https://sfbay.craigslist.org/nby/apa/d/deer-park-spacious-lower-level-home/6979585275.html,2019-09-15,21:32,$2300,napa county,True,None,2,None
California,sfbay,nby,apts & housing for rent,6975221770,None,OPEN HOUSE THIS SATURDAY 9/14/19 STOP BY FROM 9AM TO 3PM,https://sfbay.craigslist.org/nby/apa/d/napa-open-house-this-saturday-stop-by/6975221770.html,2019-09-15,21:15,$2290,Napa,True,None,2,870ft2
California,sfbay,nby,apts & housing for rent,6979578510,None,2 bdr/2bth upper level unit for rent,https://sfbay.craigslist.org/nby/apa/d/rohnert-park-2-bdr-2bth-upper-level/6979578510.html,2019-09-15,21:03,$2050,rohnert pk / cotati,True,None,2,950ft2
California,sfbay,nby,apts & housing for rent,6979572853,None,Valle Vista Senior Community,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-valle-vista-senior-community/6979572853.html,2019-09-15,20:42,$1800,santa rosa,True,None,2,1440ft2
California,sfbay,nby,apts & housing for rent,6972645589,6929257872,Beautiful Country House in St. Helena -- FOR RENT,https://sfbay.craigslist.org/nby/apa/d/saint-helena-beautiful-country-house-in/6972645589.html,2019-09-15,19:11,$3100,None,True,None,2,None
California,sfbay,nby,apts & housing for rent,6976712247,None,"State of the art Business Center, High Ceilings, Soothing Spa",https://sfbay.craigslist.org/nby/apa/d/santa-rosa-state-of-the-art-business/6976712247.html,2019-09-15,19:05,$2350,None,True,None,2,995ft2
California,sfbay,nby,apts & housing for rent,6976744455,None,SPECTACULAR LOCATION W/ALL OF THE BELLS & WHISTLES!,https://sfbay.craigslist.org/nby/apa/d/novato-spectacular-location-all-of-the/6976744455.html,2019-09-15,19:00,$3525,None,True,None,2,1215ft2
California,sfbay,nby,apts & housing for rent,6977220016,None,San Geronimo Valley Fairfax Woodacre Lagunitas,https://sfbay.craigslist.org/nby/apa/d/lagunitas-san-geronimo-valley-fairfax/6977220016.html,2019-09-15,18:43,$2250,west marin,True,None,2,None
California,sfbay,nby,apts & housing for rent,6979514497,6904970699,"$ 2,200 - Charming 2-Bedroom in Old Petaluma near Downtown",https://sfbay.craigslist.org/nby/apa/d/petaluma-charming-2-bedroom-in-old/6979514497.html,2019-09-15,18:06,$2200,petaluma,True,None,2,700ft2
California,sfbay,nby,apts & housing for rent,6979504207,None,Beautiful 2 BR with laundry,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-beautiful-2-br-with-laundry/6979504207.html,2019-09-15,17:44,$2000,santa rosa,True,None,2,810ft2
California,sfbay,nby,apts & housing for rent,6979492821,None,"Library with Computer Center, 24-Hour Fitness Center, Smoke-Free",https://sfbay.craigslist.org/nby/apa/d/rohnert-park-library-with-computer/6979492821.html,2019-09-15,17:21,$2145,rohnert pk / cotati,True,None,2,980ft2
California,sfbay,nby,apts & housing for rent,6979487976,None,Ask us how to get 6 weeks free!,https://sfbay.craigslist.org/nby/apa/d/napa-ask-us-how-to-get-6-weeks-free/6979487976.html,2019-09-15,17:20,$3321,napa county,True,None,2,None
California,sfbay,nby,apts & housing for rent,6979485200,None,Celebrate your new apartment with a perfect GIFT,https://sfbay.craigslist.org/nby/apa/d/napa-celebrate-your-new-apartment-with/6979485200.html,2019-09-15,17:06,$2499,napa county,True,None,2,932ft2
California,sfbay,nby,apts & housing for rent,6979482838,5889745267,2x1  Enjoy our pools and clubhouses just steps away from the ferry!,https://sfbay.craigslist.org/nby/apa/d/san-quentin-2x1-enjoy-our-pools-and/6979482838.html,2019-09-15,17:01,$3610,larkspur,True,None,2,896ft2
California,sfbay,nby,apts & housing for rent,6979482397,6870157488,2/2  Your new home awaits in Sunny Larkspur! Call to tour!,https://sfbay.craigslist.org/nby/apa/d/san-quentin-2-2-your-new-home-awaits-in/6979482397.html,2019-09-15,17:01,$3760,larkspur,True,None,2,946ft2
