CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
California,sfbay,eby,apa,6979030198,6297491541,"2Bed, 2bath , near Bart, 92 Bridge, 880, Mall, CSU",https://sfbay.craigslist.org/eby/apa/d/hayward-2bed-2bath-near-bart-92-bridge/6979030198.html,2019-09-21,00:08,$2550,hayward / castro valley,True,None,2,1007ft2
California,sfbay,eby,apa,6983292341,None,"""FULLY REMODELED"" Studio, 1 Bath, Apartment",https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-studio-1-bath/6983292341.html,2019-09-21,00:08,$1695,North Oakland,True,None,None,None
California,sfbay,eby,apa,6983292392,None,"""FULLY REMODELED"" 2 Bdrm, 1 Bath, Apartment",https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-2-bdrm-1-bath/6983292392.html,2019-09-21,00:08,$1895,West Oakland,True,None,2,None
California,sfbay,eby,apa,6973158557,None,"Pool View, Heat Included, Playground",https://sfbay.craigslist.org/eby/apa/d/antioch-pool-view-heat-included/6973158557.html,2019-09-21,00:07,$1691,pittsburg / antioch,True,None,1,708ft2
California,sfbay,eby,apa,6966720993,6952195244,"View Sat @ 1P! Top Floor Flat W/Private Garage, Laundry Hook-Ups!",https://sfbay.craigslist.org/eby/apa/d/oakland-view-sat-1p-top-floor-flat/6966720993.html,2019-09-21,00:06,$2750,oakland east,True,None,3,1550ft2
California,sfbay,eby,apa,6966721341,6952190740,Open House Sat @ 1P! Large Flat Near Mills! Private Garage/Hook-Ups!,https://sfbay.craigslist.org/eby/apa/d/oakland-open-house-sat-1p-large-flat/6966721341.html,2019-09-21,00:05,$2750,oakland hills / mills,True,None,3,1550ft2
California,sfbay,eby,apa,6972138465,None,Open House Sat @ 12P! Top Floor Back Unit W/ Parking Space!,https://sfbay.craigslist.org/eby/apa/d/san-leandro-open-house-sat-12p-top/6972138465.html,2019-09-21,00:05,$1600,san leandro,True,None,1,None
California,sfbay,eby,apa,6978650200,6952213283,View Sat @ 3P!Spacious W/ Balcony/Free Heat! Walk To BART/Whole Foods!,https://sfbay.craigslist.org/eby/apa/d/oakland-view-sat-3pspacious-balcony/6978650200.html,2019-09-21,00:05,$2450,oakland lake merritt / grand,True,None,1,None
California,sfbay,eby,apa,6975993991,None,"Premier Community Room, Floor to Ceiling Windows, USB Outlet Ports",https://sfbay.craigslist.org/eby/apa/d/dublin-premier-community-room-floor-to/6975993991.html,2019-09-21,00:02,$2799,dublin / pleasanton / livermore,True,None,2,1058ft2
California,sfbay,eby,apa,6983292358,None,"""FULLY REMODELED"" Large 3 Bdrms, 2 Baths, Duplex",https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-large-3-bdrms-2/6983292358.html,2019-09-20,23:57,$2995,North Oakland,True,None,3,None
California,sfbay,eby,apa,6983292377,None,"""FULLY REMODELED"" 4 Bdrm, 2.5 Bath, Single Family House",https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-4-bdrm-25-bath/6983292377.html,2019-09-20,23:57,$3995,West Oakland,True,None,4,None
California,sfbay,eby,apa,6976857598,None,$3400 / 4bdrm - 2080Sq-ft - Beautiful Single Family House for Rent,https://sfbay.craigslist.org/eby/apa/d/union-city-bdrm-sq-ft-beautiful-single/6976857598.html,2019-09-20,23:55,$3400,fremont / union city / newark,True,None,4,2080ft2
California,sfbay,eby,apa,6983292318,None,"""FULLY REMODELED"" 3 Beds, 1 Bath + den, Duplex",https://sfbay.craigslist.org/eby/apa/d/berkeley-fully-remodeled-3-beds-1-bath/6983292318.html,2019-09-20,23:54,$2895,Berkeley,True,None,3,None
California,sfbay,eby,apa,6972818491,None,"Walk-in closet, Studio in San Pablo, Gas stove, Everything you need",https://sfbay.craigslist.org/eby/apa/d/los-gatos-walk-in-closet-studio-in-san/6972818491.html,2019-09-20,23:37,$1650,"hercules, pinole, san pablo, el sob",True,None,None,460ft2
California,sfbay,eby,apa,6979007042,None,great location 2b1b,https://sfbay.craigslist.org/eby/apa/d/oakland-great-location-2b1b/6979007042.html,2019-09-20,23:35,$2399,oakland piedmont / montclair,True,None,2,None
California,sfbay,eby,apa,6983290070,None,Cozy House in Central Berkeley,https://sfbay.craigslist.org/eby/apa/d/berkeley-cozy-house-in-central-berkeley/6983290070.html,2019-09-20,23:30,$3500,berkeley,True,None,2,None
California,sfbay,eby,apa,6983287107,6567929171,remodeled one bedroom-gated community-parking,https://sfbay.craigslist.org/eby/apa/d/oakland-remodeled-one-bedroom-gated/6983287107.html,2019-09-20,23:26,$1795,oakland hills / mills,True,None,1,700ft2
California,sfbay,eby,apa,6980300149,None,Beautiful house furnished for rent with gorgeous view,https://sfbay.craigslist.org/eby/apa/d/el-cerrito-beautiful-house-furnished/6980300149.html,2019-09-20,23:24,$6750,albany / el cerrito,True,None,3,2452ft2
California,sfbay,eby,apa,6980374443,None,"Newark House - 3 bedrooms, 2 Baths",https://sfbay.craigslist.org/eby/apa/d/newark-newark-house-3-bedrooms-2-baths/6980374443.html,2019-09-20,23:16,$3200,fremont / union city / newark,True,None,3,1786ft2
California,sfbay,eby,apa,6976836374,None,Remodeled 1 Bedroom 1 Bathroom Apartment E4,https://sfbay.craigslist.org/eby/apa/d/oakland-remodeled-1-bedroom-1-bathroom/6976836374.html,2019-09-20,23:15,$2495,oakland lake merritt / grand,True,None,1,750ft2
California,sfbay,eby,apa,6970220740,6946726133,$1000 Move-in Bonus.Remodeled 2 bdr Near Downtown Berk and Bart - G393,https://sfbay.craigslist.org/eby/apa/d/berkeley-1000-move-in-bonusremodeled-2/6970220740.html,2019-09-20,23:15,$3195,berkeley,True,None,2,825ft2
California,sfbay,eby,apa,6978549310,6965964249,"SAN LORENZO  3/BR.HOUSE FOR RENT. 591 VIA ACALANES SAN LORENZO,CA",https://sfbay.craigslist.org/eby/apa/d/san-lorenzo-san-lorenzo-3-brhouse-for/6978549310.html,2019-09-20,23:15,$2750,hayward / castro valley,True,None,3,1300ft2
California,sfbay,eby,apa,6965400027,None,4bed/2.5bath Single House for rent in Mission Hills,https://sfbay.craigslist.org/eby/apa/d/fremont-4bed-25bath-single-house-for/6965400027.html,2019-09-20,23:14,$4595,fremont / union city / newark,True,None,4,2539ft2
California,sfbay,eby,apa,6983287027,6567929171,remodeled one bedroom-gated community-parking,https://sfbay.craigslist.org/eby/apa/d/oakland-remodeled-one-bedroom-gated/6983287027.html,2019-09-20,23:09,$1795,oakland lake merritt / grand,True,None,1,700ft2
California,sfbay,eby,apa,6980596423,4568318347,Large One Bedroom w/ Hardwood Floors Near BART and UCB,https://sfbay.craigslist.org/eby/apa/d/berkeley-large-one-bedroom-hardwood/6980596423.html,2019-09-20,23:09,$2250,berkeley,True,None,1,850ft2
California,sfbay,eby,apa,6983286800,6934829388,Beautifully Remodeled 2 Bed 1 Bath located near Downtown Livermore,https://sfbay.craigslist.org/eby/apa/d/livermore-beautifully-remodeled-2-bed-1/6983286800.html,2019-09-20,23:08,$1995,dublin / pleasanton / livermore,True,None,2,None
