CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
California,sfbay,scz,apa,6983272701,6969009135,Soquel Village 1 Bed / 1 Bath,https://sfbay.craigslist.org/scz/apa/d/capitola-soquel-village-1-bed-1-bath/6983272701.html,2019-09-20,21:51,$1850,soquel,True,None,1,650ft2
California,sfbay,scz,apa,6970109795,6966761982,"1 BR/1 BA detached cottage on beautiful, rural Soquel property",https://sfbay.craigslist.org/scz/apa/d/soquel-1-br-1-ba-detached-cottage-on/6970109795.html,2019-09-20,21:50,$1900,soquel,True,None,1,600ft2
California,sfbay,scz,apa,6983258644,6974784171,Aptos Home with Ocean View,https://sfbay.craigslist.org/scz/apa/d/aptos-aptos-home-with-ocean-view/6983258644.html,2019-09-20,20:54,$4000,aptos,True,None,3,1500ft2
California,sfbay,scz,apa,6981484423,6951554349,Luxury Renovation! Ask about out 10 month lease special!!,https://sfbay.craigslist.org/scz/apa/d/capitola-luxury-renovation-ask-about/6981484423.html,2019-09-20,18:59,$3095,soquel,True,None,2,1250ft2
California,sfbay,scz,apa,6983215969,None,Friday Special!! $99.00 Move In Special!,https://sfbay.craigslist.org/scz/apa/d/davenport-friday-special-9900-move-in/6983215969.html,2019-09-20,18:58,$710,santa cruz,True,None,1,None
California,sfbay,scz,apa,6983215557,None,Friday Special!! $99.00 Move In Special!,https://sfbay.craigslist.org/scz/apa/d/davenport-friday-special-9900-move-in/6983215557.html,2019-09-20,18:57,$710,santa cruz,True,None,1,None
California,sfbay,scz,apa,6983215983,None,Friday Special!! $99.00 Move In Special!,https://sfbay.craigslist.org/scz/apa/d/davenport-friday-special-9900-move-in/6983215983.html,2019-09-20,18:56,$710,santa cruz,True,None,1,None
California,sfbay,scz,apa,6973008559,4643312308,Quiet furnished section of house - walk to UCSC,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-quiet-furnished-section-of/6973008559.html,2019-09-20,18:40,$1600,santa cruz,True,None,1,400ft2
California,sfbay,scz,apa,6983210035,None,House for Rent,https://sfbay.craigslist.org/scz/apa/d/boulder-creek-house-for-rent/6983210035.html,2019-09-20,18:34,$2700,boulder creek,True,None,3,2000ft2
California,sfbay,scz,apa,6962004793,None,Mid town - Seabright Petite House w/ Small Yard *  Walk to Everything,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-mid-town-seabright-petite/6962004793.html,2019-09-20,18:13,$2250,santa cruz,True,None,1,560ft2
California,sfbay,scz,apa,6962640024,None,2-Story Middle Hs In Triplex: Super Big Rooms: Versatile Floor Plan,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-2-story-middle-hs-in-triplex/6962640024.html,2019-09-20,18:12,$2375,santa cruz,True,None,1,1000ft2
California,sfbay,scz,apa,6978961009,None,Luxury condo near Natural Bridges & Swift St. Courtyard!,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-luxury-condo-near-natural/6978961009.html,2019-09-20,17:36,$2535,santa cruz,True,None,2,915ft2
California,sfbay,scz,apa,6981004421,6941463695,Pac Sun Prop Mgmt. Mountain home with separate studio,https://sfbay.craigslist.org/scz/apa/d/brookdale-pac-sun-prop-mgmt-mountain/6981004421.html,2019-09-20,17:32,$3950,santa cruz,True,None,3,1780ft2
California,sfbay,scz,apa,6968276067,6806339330,REDUCED RATE ON THIS GORGEOUS 1 BEDROOM! ONE BLOCK FROM THE OCEAN!!,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-reduced-rate-on-this/6968276067.html,2019-09-20,17:05,$2495,santa cruz,True,None,1,650ft2
California,sfbay,scz,apa,6983165535,None,1BR/1BA Apt. near the Beach & the Capitola Mall!,https://sfbay.craigslist.org/scz/apa/d/capitola-1br-1ba-apt-near-the-beach-the/6983165535.html,2019-09-20,17:05,$2165,capitola,True,None,1,589ft2
California,sfbay,scz,apa,6983163487,None,1x1 APT. W/ PRIVATE PATIO & WALK-IN CLOSET!,https://sfbay.craigslist.org/scz/apa/d/capitola-1x1-apt-private-patio-walk-in/6983163487.html,2019-09-20,17:01,$2165,capitola,True,None,1,589ft2
California,sfbay,scz,apa,6983160660,None,1x1 Apt. near the World-Famous Capitola Village by the Sea!,https://sfbay.craigslist.org/scz/apa/d/capitola-1x1-apt-near-the-world-famous/6983160660.html,2019-09-20,16:56,$2165,capitola,True,None,1,589ft2
California,sfbay,scz,apa,6965318212,None,French Normandy Estate in Seacrest Neighborhood! - 4 Bed 4.5 Bath,https://sfbay.craigslist.org/scz/apa/d/capitola-french-normandy-estate-in/6965318212.html,2019-09-20,16:42,$11000,soquel,True,None,4,4108ft2
California,sfbay,scz,apa,6965303954,None,Immaculate Executive 4bd/4ba Home in Highly Desired Rio Del Mar Hills!,https://sfbay.craigslist.org/scz/apa/d/aptos-immaculate-executive-4bd-4ba-home/6965303954.html,2019-09-20,16:42,$9400,aptos,True,None,4,3752ft2
California,sfbay,scz,apa,6965244933,None,"DO NOT DISTURB OCCUPANTS - Come see this newly Built 3 bed, 2.5 Ba",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-do-not-disturb-occupants/6965244933.html,2019-09-20,16:42,$3900,santa cruz,True,None,3,1610ft2
California,sfbay,scz,apa,6983150358,None,Beautiful and Bright Town Home . Available Soon !!! Great Location!!,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-beautiful-and-bright-town/6983150358.html,2019-09-20,16:38,$2850,capitola,True,None,2,960ft2
California,sfbay,scz,apa,6979851134,5117965550,"La Selva Beach, 308 Playa Blvd #B Cute apartment in downtown La Selva",https://sfbay.craigslist.org/scz/apa/d/aptos-la-selva-beach-308-playa-blvd/6979851134.html,2019-09-20,16:34,$1300,watsonville,True,None,None,None
California,sfbay,scz,apa,6979844251,5477986248,"Aptos, 219 Lamanda Large two story Rio Del Mar",https://sfbay.craigslist.org/scz/apa/d/aptos-aptos-219-lamanda-large-two-story/6979844251.html,2019-09-20,16:34,$3850,aptos,True,None,4,None
California,sfbay,scz,apa,6979842563,5077817454,"Santa Cruz, 316 Lincoln Street #6 Nice spacious upstairs unit",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-316-lincoln/6979842563.html,2019-09-20,16:34,$1975,santa cruz,True,None,1,None
California,sfbay,scz,apa,6979843272,6952576673,"Aptos, 2613 Willowbrook Lane #76 Beautiful complex!",https://sfbay.craigslist.org/scz/apa/d/capitola-aptos-2613-willowbrook-lane-76/6979843272.html,2019-09-20,16:34,$2750,aptos,True,None,2,None
California,sfbay,scz,apa,6975939929,5735712684,Cute one bedroom coach - 3320 Portola Dr. #18,https://sfbay.craigslist.org/scz/apa/d/cute-one-bedroom-coach-portola-dr-18/6975939929.html,2019-09-20,16:34,$1695,santa cruz,True,None,1,None
California,sfbay,scz,apa,6968278618,4935411468,"Capitola, 816 Balboa Avenue #A Walk to New Brighton Beach",https://sfbay.craigslist.org/scz/apa/d/capitola-capitola-816-balboa-avenue/6968278618.html,2019-09-20,16:34,$2275,capitola,True,None,2,None
California,sfbay,scz,apa,6968266800,6220834157,Aptos-Great location in quiet complex-6996 Soquel Dr. #32,https://sfbay.craigslist.org/scz/apa/d/aptos-aptos-great-location-in-quiet/6968266800.html,2019-09-20,16:34,$2150,aptos,True,None,2,None
California,sfbay,scz,apa,6968264372,3017056610,"Spacious & Quiet - Santa Cruz, 157 Franklin Street #33",https://sfbay.craigslist.org/scz/apa/d/spacious-quiet-santa-cruz-157-franklin/6968264372.html,2019-09-20,16:33,$1875,santa cruz,True,None,1,None
California,sfbay,scz,apa,6971982376,6945221343,"Santa Cruz, 119 Clay St. #3 Close to downtown and bus line",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-119-clay-st-3/6971982376.html,2019-09-20,16:33,$1785,santa cruz,True,None,1,None
California,sfbay,scz,apa,6965067562,5104040604,"Santa Cruz, 116 Castillion Terrace - West side Santa Cruz",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-116-castillion/6965067562.html,2019-09-20,16:33,$2950,santa cruz,True,None,2,None
California,sfbay,scz,apa,6965061366,5148982257,"Santa Cruz, 155 Anchorage Avenue Cozy home in desirable Pleasure Point",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-155-anchorage-avenue-cozy/6965061366.html,2019-09-20,16:33,$2850,santa cruz,True,None,2,None
California,sfbay,scz,apa,6965050103,1820800464,"Downtown Santa Cruz, 230 Felix St. #G - Bus to UCSC",https://sfbay.craigslist.org/scz/apa/d/downtown-santa-cruz-230-felix-st-bus-to/6965050103.html,2019-09-20,16:33,$2650,santa cruz,True,None,2,None
California,sfbay,scz,apa,6966475006,5113522311,"Santa Cruz, 224 Felix Street Nice single level unit in triplex",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-224-felix-street/6966475006.html,2019-09-20,16:32,$2750,santa cruz,True,None,2,None
California,sfbay,scz,apa,6967163133,5637134106,"Santa Cruz, 339 Walnut Ave. #10 - Close to UCSC and downtown",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-339-walnut-ave-10/6967163133.html,2019-09-20,16:32,$2250,santa cruz,True,None,2,None
California,sfbay,scz,apa,6970447628,6042366710,Santa Cruz - 157 Franklin St. #17 Close to UCSC and downtown,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-franklin-st-17/6970447628.html,2019-09-20,16:32,$2450,santa cruz,True,None,2,775ft2
California,sfbay,scz,apa,6970448034,5692921325,Santa Cruz - 339 Walnut Ave. #5 - West Side Close to UCSC,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-walnut-ave-5-west/6970448034.html,2019-09-20,16:31,$2250,santa cruz,True,None,2,None
California,sfbay,scz,apa,6977802494,5182299274,"Santa Cruz, 216 Felix Street Nice single level unit",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-216-felix-street-nice-single/6977802494.html,2019-09-20,16:31,$2750,santa cruz,True,None,2,None
California,sfbay,scz,apa,6977810258,3213894644,"Santa Cruz, 339 Walnut Ave #15 nice spacious upstairs unit",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-339-walnut-ave-15/6977810258.html,2019-09-20,16:31,$2650,santa cruz,True,None,2,None
California,sfbay,scz,apa,6977825667,3749391870,"Santa Cruz, 116 Belvedere Terrace #A East Side duplex",https://sfbay.craigslist.org/scz/apa/d/santa-cruz-santa-cruz-116-belvedere/6977825667.html,2019-09-20,16:31,$2350,santa cruz,True,None,1,None
