INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 21:09
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 21:11
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 21:22
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 21:26
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 21:27
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 21:31
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 21:34
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 23:07
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 23:11
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 23:13
INFO:root:Ran with filters: {'private_room': None, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': None, 'max_price': None, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': 2, 'max_bedrooms': 2, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-09-15 23:17
