CL State,CL Region,CL District,Housing Category,Title,URL,Date Posted,Time Posted,Price,Location,Area
California,sfbay,sfc,apts/housing for rent,1 bedroom 1 living room for rent in SF's Richmond Dist!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bedroom-1-living-room/6970645631.html,2019-09-15,15:30,2200.0,inner richmond,None
California,sfbay,eby,apts/housing for rent,"Gate in, detached, large & small & open space newly",https://sfbay.craigslist.org/eby/apa/d/brentwood-gate-in-detached-large-small/6979326146.html,2019-09-15,14:23,1852.0,berkeley north / hills,None
California,sfbay,eby,apts/housing for rent,2BR/1Bath - Water/Garbage Included in Rent,https://sfbay.craigslist.org/eby/apa/d/oakland-2br-1bath-water-garbage/6968044935.html,2019-09-15,13:36,2000.0,oakland east,850ft2
California,sfbay,sfc,apts/housing for rent,UPDATED Bright 900 Sq/Ft 2BR/1BA Top Floor Apartment AVAIL NOW,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-bright-900-sq-ft/6977087425.html,2019-09-15,08:30,3295.0,inner richmond,900ft2
California,sfbay,eby,apts/housing for rent,"cozy, large, gate in",https://sfbay.craigslist.org/eby/apa/d/el-cerrito-cozy-large-gate-in/6979090556.html,2019-09-15,07:49,1860.0,berkeley,None
California,sfbay,eby,apts/housing for rent,Updated Two Bed Apartment with Parking,https://sfbay.craigslist.org/eby/apa/d/richmond-updated-two-bed-apartment-with/6978998288.html,2019-09-14,21:53,1999.0,"hercules, pinole, san pablo, el sob",None
California,sfbay,eby,apts/housing for rent,Quiet 4 Unit Building,https://sfbay.craigslist.org/eby/apa/d/emeryville-quiet-4-unit-building/6977539394.html,2019-09-14,20:33,1900.0,oakland north / temescal,600ft2
California,sfbay,eby,apts/housing for rent,"Bright 2bdrm NEW apt w panoramic Bay View, 10m walk to campus",https://sfbay.craigslist.org/eby/apa/d/berkeley-bright-2bdrm-new-apt-panoramic/6978976700.html,2019-09-14,20:16,1600.0,berkeley,845ft2
California,sfbay,sfc,apts/housing for rent,Open Sunday:  2 Bdrm Apt.  Clean & Convenient,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-sunday-2-bdrm-apt/6978959839.html,2019-09-14,19:17,3400.0,richmond / seacliff,1000ft2
California,sfbay,eby,apts/housing for rent,Richmond Annex One of the Duplex Unit,https://sfbay.craigslist.org/eby/apa/d/albany-richmond-annex-one-of-the-duplex/6978924110.html,2019-09-14,17:42,1850.0,richmond / point / annex,740ft2
California,sfbay,eby,apts/housing for rent,2 br/1 ba near West Oakland BART - OPEN HOUSE SUN SEP 15 3-6 pm,https://sfbay.craigslist.org/eby/apa/d/oakland-2-br-1-ba-near-west-oakland/6977313478.html,2019-09-14,15:04,1995.0,oakland west,None
California,sfbay,eby,apts/housing for rent,FOR RENT 320 S 3rd Richmond,https://sfbay.craigslist.org/eby/apa/d/san-pablo-for-rent-320-3rd-richmond/6974274638.html,2019-09-14,15:39,2050.0,richmond / point / annex,700ft2
California,sfbay,eby,apts/housing for rent,Remodeled 2 bedroom for rent,https://sfbay.craigslist.org/eby/apa/d/oakland-remodeled-2-bedroom-for-rent/6978821561.html,2019-09-14,14:36,1700.0,oakland,900ft2
California,sfbay,eby,apts/housing for rent,407 44th St,https://sfbay.craigslist.org/eby/apa/d/richmond-th-st/6975021923.html,2019-09-14,14:03,1950.0,richmond / point / annex,750ft2
California,sfbay,eby,apts/housing for rent,632 Alhambra St. Crockett,https://sfbay.craigslist.org/eby/apa/d/crockett-632-alhambra-st-crockett/6960709279.html,2019-09-14,14:04,1895.0,"hercules, pinole, san pablo, el sob",None
California,sfbay,eby,apts/housing for rent,4811 Appian Way 2/5,https://sfbay.craigslist.org/eby/apa/d/el-sobrante-4811-appian-way-2-5/6968264806.html,2019-09-14,14:04,2050.0,"hercules, pinole, san pablo, el sob",960ft2
California,sfbay,eby,apts/housing for rent,Newly updated 2 bed/1bath now available. On A street,https://sfbay.craigslist.org/eby/apa/d/oakland-newly-updated-2-bed-1bath-now/6968402424.html,2019-09-14,13:51,1900.0,oakland east,750ft2
California,sfbay,sfc,apts/housing for rent,"Outer Richmond, refurbished 2BR/1.5BA apartment with parking for rent…",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-outer-richmond/6964756591.html,2019-09-14,12:53,3400.0,richmond / seacliff,None
California,sfbay,sfc,apts/housing for rent,"2 or 3 bedroom 1 bath on 11th Ave & Clement, avail now",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-or-3-bedroom-1-bath-on/6978715461.html,2019-09-14,12:15,3200.0,inner richmond,950ft2
California,sfbay,eby,apts/housing for rent,2 bedroom On Alcatraz Ave. near Sacramento St.,https://sfbay.craigslist.org/eby/apa/d/emeryville-2-bedroom-on-alcatraz-ave/6962667330.html,2019-09-14,11:46,2000.0,berkeley,550ft2
California,sfbay,eby,apts/housing for rent,UPDATED2 BDR APT IN QUIET 6-PLEX.  WALK TO BART,https://sfbay.craigslist.org/eby/apa/d/san-leandro-updated2-bdr-apt-in-quiet-6/6976388351.html,2019-09-14,11:42,1995.0,san leandro,800ft2
California,sfbay,eby,apts/housing for rent,"2BD/1BD,Hardwood,Dishwasher,Laundry,Parking,Pets OK",https://sfbay.craigslist.org/eby/apa/d/pinole-2bd/6973617897.html,2019-09-14,11:54,1900.0,"hercules, pinole, san pablo, el sob",875ft2
California,sfbay,eby,apts/housing for rent,Great Location El Sobrante 2 Bedroom,https://sfbay.craigslist.org/eby/apa/d/el-sobrante-great-location-el-sobrante/6972776859.html,2019-09-14,11:02,1775.0,"hercules, pinole, san pablo, el sob",950ft2
