CL State,CL Region,CL District,Housing Category,Title,URL,Date Posted,Time Posted,Price,Location,Bedrooms,Area,Price_Area,Num Time,Title Key
California,sfbay,eby,apa,$2800 / 4br - 1400ft2 - 吉屋出租,https://sfbay.craigslist.org/eby/apa/d/san-pablo-br-ft2/6983279572.html,2019-09-20,22:26,2800.0,"hercules, pinole, san pablo, el sob",4,1400.0,2.0,,
California,sfbay,eby,apa,"4 Bed Room,2Bath for Rent",https://sfbay.craigslist.org/eby/apa/d/richmond-4-bed-room2bath-for-rent/6975278506.html,2019-09-20,20:27,2950.0,richmond / point / annex,4,1450.0,2.034482758620689,,
California,sfbay,eby,apa,Bright 2bdrm NEW room for immediate move in w panoramic Bay View,https://sfbay.craigslist.org/eby/apa/d/berkeley-bright-2bdrm-new-room-for/6978976700.html,2019-09-20,19:13,1500.0,berkeley,2,845.0,1.7751479289940828,,
California,sfbay,sfc,apa,Massive 1(*2)Bd w/Hardwood Floors. Excellent Deposit Incentive!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-massive-12bd-hardwood/6983202091.html,2019-09-20,18:35,2999.0,richmond / seacliff,2,900.0,3.3322222222222213,,
California,sfbay,eby,apa,"AVAILABLE NOW! - Clean, Modern, Beautifully Renovated! 2BR/2BA",https://sfbay.craigslist.org/eby/apa/d/pinole-available-now-clean-modern/6983197240.html,2019-09-20,18:05,2100.0,"hercules, pinole, san pablo, el sob",2,1045.0,2.0095693779904304,,
California,sfbay,sfc,apa,Showing on October 1st | 3(*4)BD w/Fireplace & Hardwood Floors.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-showing-on-october-1st/6983202334.html,2019-09-20,18:28,5499.0,inner richmond,4,2650.0,2.0750943396226416,,
California,sfbay,eby,apa,3 bedroom 1 bath home in private court,https://sfbay.craigslist.org/eby/apa/d/3-bedroom-1-bath-home-in-private-court/6983136936.html,2019-09-20,16:17,2300.0,san leandro,3,1250.0,1.84,,
California,sfbay,sfc,apa,Central Richmond 2 BR Apt Close to GG Park and Balboa St Corridor,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-central-richmond-2-br-apt/6968706601.html,2019-09-20,14:36,3200.0,richmond / seacliff,2,900.0,3.555555555555556,,
California,sfbay,eby,apa,BEST DOWNTOWN LOCATION QUIET 6 PLEX WALK TO BART,https://sfbay.craigslist.org/eby/apa/d/san-leandro-best-downtown-location/6976388351.html,2019-09-20,12:59,1995.0,san leandro,2,800.0,2.49375,,
California,sfbay,eby,apa,Large Two Bedroom Ground Floor Duplex in Old Town Pinole,https://sfbay.craigslist.org/eby/apa/d/pinole-large-two-bedroom-ground-floor/6982981181.html,2019-09-20,12:54,2050.0,"hercules, pinole, san pablo, el sob",2,1250.0,1.64,,
