CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
California,sfbay,eby,rooms & shares,6976098790,None,"3 Rooms for Rent, Utilities Included, close to 880/ 580 CSUEB Chabot",https://sfbay.craigslist.org/eby/roo/d/san-lorenzo-3-rooms-for-rent-utilities/6976098790.html,2019-09-10,23:09,$900,hayward / castro valley,True,None,None,None
California,sfbay,eby,rooms & shares,6976098563,None,Livermore rooms and studios for rent,https://sfbay.craigslist.org/eby/roo/d/livermore-livermore-rooms-and-studios/6976098563.html,2019-09-10,23:08,$900,dublin / pleasanton / livermore,True,None,None,None
California,sfbay,eby,rooms & shares,6976098068,None,Master room for tent,https://sfbay.craigslist.org/eby/roo/d/hayward-master-room-for-tent/6976098068.html,2019-09-10,23:05,$1122,alameda,True,None,None,None
California,sfbay,eby,rooms & shares,6955865786,None,Beautiful furnished Room close to lab and downtown,https://sfbay.craigslist.org/eby/roo/d/livermore-beautiful-furnished-room/6955865786.html,2019-09-10,22:40,$895,dublin / pleasanton / livermore,True,None,None,None
California,sfbay,eby,rooms & shares,6976092554,4789106811,SE RENTA CUARTO,https://sfbay.craigslist.org/eby/roo/d/se-renta-cuarto/6976092554.html,2019-09-10,22:34,$875,"hercules, pinole, san pablo, el sob",True,None,None,None
California,sfbay,eby,rooms & shares,6976092616,4789111112,ROOM  FOR RENT,https://sfbay.craigslist.org/eby/roo/d/room-for-rent/6976092616.html,2019-09-10,22:30,$875,"hercules, pinole, san pablo, el sob",True,None,None,None
California,sfbay,eby,rooms & shares,6973240529,None,room for rent,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent/6973240529.html,2019-09-10,22:17,$780,san leandro,True,None,None,None
California,sfbay,eby,rooms & shares,6959475498,6950932466,Room for rent in quiet home,https://sfbay.craigslist.org/eby/roo/d/richmond-room-for-rent-in-quiet-home/6959475498.html,2019-09-10,22:16,$1150,richmond / point / annex,True,None,None,None
California,sfbay,eby,rooms & shares,6976089205,None,Master bedroom for rent!,https://sfbay.craigslist.org/eby/roo/d/oakland-master-bedroom-for-rent/6976089205.html,2019-09-10,22:11,$1150,oakland east,True,None,None,None
California,sfbay,eby,rooms & shares,6974130467,6960213121,Hayward eden shore area have a bedroom for rent,https://sfbay.craigslist.org/eby/roo/d/hayward-hayward-eden-shore-area-have/6974130467.html,2019-09-10,22:10,$870,hayward / castro valley,True,None,None,130ft2
California,sfbay,eby,rooms & shares,6962728218,None,Downtown Hayward a bedroom & Private parking for rent,https://sfbay.craigslist.org/eby/roo/d/hayward-downtown-hayward-bedroom/6962728218.html,2019-09-10,22:02,$950,hayward / castro valley,True,None,None,155ft2
California,sfbay,eby,rooms & shares,6970223089,6182699527,Nice 1 bedroom*10/1/19* $500/mth,https://sfbay.craigslist.org/eby/roo/d/pittsburg-nice-1-bedroom-mth/6970223089.html,2019-09-10,21:53,$500,pittsburg / antioch,True,None,None,None
California,sfbay,eby,rooms & shares,6972436929,5439528135,share 2nd floor -room for rent,https://sfbay.craigslist.org/eby/roo/d/share-2nd-floor-room-for-rent/6972436929.html,2019-09-10,21:48,$990,hayward / castro valley,True,None,None,1212ft2
California,sfbay,eby,rooms & shares,6976076384,None,Look for a housemate in 3B2B House walkable to Fremont BART,https://sfbay.craigslist.org/eby/roo/d/fremont-look-for-housemate-in-3b2b/6976076384.html,2019-09-10,21:44,$1200,Fremont,True,None,None,110ft2
California,sfbay,eby,rooms & shares,6962646755,6954445023,AVAILABLE OCT 1 Share Townhouse style apt,https://sfbay.craigslist.org/eby/roo/d/walnut-creek-available-oct-1-share/6962646755.html,2019-09-10,21:40,$1190,walnut creek,True,None,None,950ft2
