CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
California,sfbay,sby,rooms & shares,6974300704,5914058856,1间雅房出租,https://sfbay.craigslist.org/sby/roo/d/1/6974300704.html,2019-09-10,23:08,$750,san jose north,True,None,None,140ft2
California,sfbay,sby,rooms & shares,6976096209,6957708814,"santa clara 1卧室带家具出租,随时拎包入住",https://sfbay.craigslist.org/sby/roo/d/santa-clara-santa-clara-1/6976096209.html,2019-09-10,22:51,$1100,santa clara,True,None,None,120ft2
California,sfbay,sby,rooms & shares,6967579681,6915276985,全新套房出租丶獨立出入,https://sfbay.craigslist.org/sby/roo/d/milpitas/6967579681.html,2019-09-10,22:03,$800,milpitas,True,None,None,None
California,sfbay,sby,rooms & shares,6967579989,6915276985,全新套房出租丶獨立出入,https://sfbay.craigslist.org/sby/roo/d/milpitas/6967579989.html,2019-09-10,22:02,$800,milpitas,True,None,None,None
California,sfbay,sby,rooms & shares,6976085805,None,雅房出租,https://sfbay.craigslist.org/sby/roo/d/sunnyvale/6976085805.html,2019-09-10,21:55,$900,sunnyvale,True,None,None,100ft2
California,sfbay,sby,rooms & shares,6976080850,6905735909,Furnished/unfurnished bedroom with private bathroom 4 rent,https://sfbay.craigslist.org/sby/roo/d/san-jose-furnished-unfurnished-bedroom/6976080850.html,2019-09-10,21:33,$1100,san jose north,True,None,None,132ft2
California,sfbay,sby,rooms & shares,6976074848,None,Room Available Oct. 1st!,https://sfbay.craigslist.org/sby/roo/d/campbell-room-available-oct-1st/6976074848.html,2019-09-10,21:10,$940,campbell,True,None,None,None
California,sfbay,sby,rooms & shares,6976072410,6466646709,Master bedroom for rent off  Montague Expwy & Dela Cruz Blvd.,https://sfbay.craigslist.org/sby/roo/d/santa-clara-master-bedroom-for-rent-off/6976072410.html,2019-09-10,21:01,$1100,santa clara,True,None,None,120ft2
California,sfbay,sby,rooms & shares,6976065543,6943207687,Private Room shared bathroom for rent,https://sfbay.craigslist.org/sby/roo/d/san-jose-private-room-shared-bathroom/6976065543.html,2019-09-10,20:40,$1100,san jose north,True,None,None,120ft2
California,sfbay,sby,rooms & shares,6971966684,6757979130,[Female] $875 Single Room In Large Single,https://sfbay.craigslist.org/sby/roo/d/san-jose-female-875-single-room-in/6971966684.html,2019-09-10,20:29,$875,san jose south,True,None,None,None
California,sfbay,sby,rooms & shares,6971741756,4739374660,"Apartment to share - green, relaxed, respectful",https://sfbay.craigslist.org/sby/roo/d/apartment-to-share-green-relaxed/6971741756.html,2019-09-10,20:27,$900,san jose west,True,None,None,None
California,sfbay,sby,rooms & shares,6976061968,6237139359,1 bed/ 1bath / extra storage closet,https://sfbay.craigslist.org/sby/roo/d/1-bed-1bath-extra-storage-closet/6976061968.html,2019-09-10,20:26,$950,gilroy,True,None,None,None
