CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Map,Post has Geotag,Bedrooms,Area
California,sfbay,nby,rooms & shares,6958996883,None,Two rooms available in Newish house.  Movie Theater 127 inch screen,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-two-rooms-available-in/6958996883.html,2019-08-25,21:30,$875,santa rosa,True,False,None,None,100ft2
California,sfbay,nby,rooms & shares,6964725799,None,Room for rent,https://sfbay.craigslist.org/nby/roo/d/vallejo-room-for-rent/6964725799.html,2019-08-25,21:07,$750,napa county,True,False,None,None,None
California,sfbay,nby,rooms & shares,6961442017,None,Room Available,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-room-available/6961442017.html,2019-08-25,20:12,$825,santa rosa,True,False,None,None,900ft2
California,sfbay,nby,rooms & shares,6947656163,6633857452,"room for rent on 6 acres, west petaluma.",https://sfbay.craigslist.org/nby/roo/d/petaluma-room-for-rent-on-6-acres-west/6947656163.html,2019-08-25,20:10,$975,petaluma,True,False,None,None,120ft2
California,sfbay,nby,rooms & shares,6949683824,6869055035,Housemate(s) wanted in house with pool,https://sfbay.craigslist.org/nby/roo/d/fulton-housemates-wanted-in-house-with/6949683824.html,2019-08-25,19:25,$900,santa rosa,True,False,None,None,2531ft2
California,sfbay,nby,rooms & shares,6959572810,None,Room for rent/private bath - single occupancy,https://sfbay.craigslist.org/nby/roo/d/napa-room-for-rent-private-bath-single/6959572810.html,2019-08-25,19:18,$1000,napa county,True,False,None,None,None
California,sfbay,nby,rooms & shares,6949393359,None,Room for rent 1 block from SSU,https://sfbay.craigslist.org/nby/roo/d/rohnert-park-room-for-rent-1-block-from/6949393359.html,2019-08-25,19:02,$900,rohnert pk / cotati,True,False,None,None,None
California,sfbay,nby,rooms & shares,6959609534,None,Room for rent 1 block from SSU,https://sfbay.craigslist.org/nby/roo/d/rohnert-park-room-for-rent-1-block-from/6959609534.html,2019-08-25,19:02,$900,rohnert pk / cotati,True,False,None,None,None
California,sfbay,nby,rooms & shares,6947327820,4821159360,Bedroom Great for Student,https://sfbay.craigslist.org/nby/roo/d/bedroom-great-for-student/6947327820.html,2019-08-25,18:19,$925,san rafael,True,False,None,None,120ft2
California,sfbay,nby,rooms & shares,6964660494,None,1 Bedroom for Rent in 2 Bed/1 Bath House,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-1-bedroom-for-rent-in-2-bed/6964660494.html,2019-08-25,18:10,$950,santa rosa,True,False,None,None,None
California,sfbay,nby,rooms & shares,6958884489,6942007100,room for rent,https://sfbay.craigslist.org/nby/roo/d/rohnert-park-room-for-rent/6958884489.html,2019-08-25,18:04,$755,rohnert pk / cotati,True,False,None,None,None
California,sfbay,nby,rooms & shares,6962533782,6952030042,Private bedroom for rent in Santa Rosa month-to-month,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-private-bedroom-for-rent-in/6962533782.html,2019-08-25,16:26,$950,santa rosa,True,False,None,None,None
California,sfbay,nby,rooms & shares,6960068549,6890661018,Room for rent,https://sfbay.craigslist.org/nby/roo/d/cotati-room-for-rent/6960068549.html,2019-08-25,15:56,$800,rohnert pk / cotati,True,False,None,None,None
California,sfbay,nby,rooms & shares,6964586233,None,"Shared townhouse, 2 bed, 2 story, 1.5 bath in quiet and friendly area",https://sfbay.craigslist.org/nby/roo/d/cotati-shared-townhouse-2-bed-2-story/6964586233.html,2019-08-25,15:52,$950,rohnert pk / cotati,True,False,None,None,203ft2
California,sfbay,nby,rooms & shares,6964560557,6735693776,***BEAUTIFUL LG. RM AVAIL*FURNISHED*FREE UTIL*LG YARD*QUIET*CLEAN*PIC,https://sfbay.craigslist.org/nby/roo/d/rohnert-park-beautiful-lg-rm/6964560557.html,2019-08-25,15:06,$895,rohnert pk / cotati,True,False,None,None,1850ft2
California,sfbay,nby,rooms & shares,6964533856,6244468086,RENTO CUARTO AMUEBLADO INCLUYENDO LAS UTILIDADES $875,https://sfbay.craigslist.org/nby/roo/d/rento-cuarto-amueblado-incluyendo-las/6964533856.html,2019-08-25,14:24,$875,san rafael,True,False,None,None,100ft2
California,sfbay,nby,rooms & shares,6964531778,4903546151,A PLACE YOU CAN CALL HOME WITH JACUZZI $875 UT/INCLUDED,https://sfbay.craigslist.org/nby/roo/d/san-rafael-place-you-can-call-home-with/6964531778.html,2019-08-25,14:21,$875,san rafael,True,False,None,None,100ft2
California,sfbay,nby,rooms & shares,6964502267,6844602615,For RENT-A private room for rent in spacious Sebastopol home,https://sfbay.craigslist.org/nby/roo/d/sebastopol-for-rent-private-room-for/6964502267.html,2019-08-25,13:37,$900,sebastopol,True,False,None,None,None
California,sfbay,nby,rooms & shares,6956564722,6932060117,"Room for rent, females only, no kids or pets",https://sfbay.craigslist.org/nby/roo/d/santa-rosa-room-for-rent-females-only/6956564722.html,2019-08-25,13:15,$800,santa rosa,True,False,None,None,None
California,sfbay,nby,rooms & shares,6964484516,6956185253,Room for rent,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-room-for-rent/6964484516.html,2019-08-25,13:12,$800,santa rosa,True,False,None,None,None
California,sfbay,nby,rooms & shares,6964423049,6906484575,Room/Private Bath for Rent in House on Quiet Street,https://sfbay.craigslist.org/nby/roo/d/sonoma-room-private-bath-for-rent-in/6964423049.html,2019-08-25,11:47,$1000,sonoma,True,False,None,None,None
California,sfbay,nby,rooms & shares,6964422631,6702699451,"🍁🍂Private room with skylight, in Marinwood🍁🍂",https://sfbay.craigslist.org/nby/roo/d/san-rafael-private-room-with-skylight/6964422631.html,2019-08-25,11:46,$950,san rafael,True,False,None,None,106ft2
California,sfbay,nby,rooms & shares,6954530313,4867446004,Private Room & Bath in SR,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-private-room-bath-in-sr/6954530313.html,2019-08-25,10:12,$1000,santa rosa,True,False,None,None,None
California,sfbay,nby,rooms & shares,6960961034,6926661278,Lovely Bedroom awaits you in a beautiful Mill Valley home,https://sfbay.craigslist.org/nby/roo/d/mill-valley-lovely-bedroom-awaits-you/6960961034.html,2019-08-25,08:07,$950,mill valley,True,False,None,None,None
California,sfbay,nby,rooms & shares,6951478421,6890736962,Room for rent in Larkfield,https://sfbay.craigslist.org/nby/roo/d/fulton-room-for-rent-in-larkfield/6951478421.html,2019-08-25,03:22,$950,santa rosa,True,False,None,None,None
California,sfbay,nby,rooms & shares,6964155868,None,ROOM FOR RENT,https://sfbay.craigslist.org/nby/roo/d/san-rafael-room-for-rent/6964155868.html,2019-08-25,01:24,$800,San Rafael,True,False,None,None,None
California,sfbay,nby,rooms & shares,6964125114,None,Room for Rent petaluma,https://sfbay.craigslist.org/nby/roo/d/petaluma-room-for-rent-petaluma/6964125114.html,2019-08-24,21:13,$900,petaluma,True,False,None,None,None
