CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Map,Post has Geotag,Bedrooms,Area
California,sfbay,scz,rooms & shares,6964678942,None,Seabright Room For Rent In Sweet House,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-seabright-room-for-rent-in/6964678942.html,2019-08-25,18:51,$1000,santa cruz,True,False,None,None,1250ft2
California,sfbay,scz,rooms & shares,6964631345,6948358457,"spacious, unfurnished, views, wood floor; October 1st",https://sfbay.craigslist.org/scz/roo/d/watsonville-spacious-unfurnished-views/6964631345.html,2019-08-25,17:11,$975,watsonville,True,False,None,None,183ft2
California,sfbay,scz,rooms & shares,6959546485,3770368694,Room in big house Util. inc. W/D garden Wifi Yard w BBQ,https://sfbay.craigslist.org/scz/roo/d/room-in-big-house-util-inc-d-garden/6959546485.html,2019-08-25,16:35,$800,watsonville,True,False,None,None,None
California,sfbay,scz,rooms & shares,6964593935,4725912817,Share Beautiful 3 Bd 2 Story Duplex Westside,https://sfbay.craigslist.org/scz/roo/d/share-beautiful-3-bd-2-story-duplex/6964593935.html,2019-08-25,16:03,$970,santa cruz,True,False,None,None,None
California,sfbay,scz,rooms & shares,6959691838,None,Room For Rent with Semi Private Bath Live Oak/Capitola Area..$800,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-room-for-rent-with-semi/6959691838.html,2019-08-25,15:09,$800,capitola,True,False,None,None,110ft2
California,sfbay,scz,rooms & shares,6964484148,6842807436,Sunny Bedroom in Smooth Running Home (Live Oak),https://sfbay.craigslist.org/scz/roo/d/santa-cruz-sunny-bedroom-in-smooth/6964484148.html,2019-08-25,13:11,$890,santa cruz,True,False,None,None,120ft2
California,sfbay,scz,rooms & shares,6964375760,6756385593,LARGE ROOM...PRIVATE entrance to bathroom...Balcony GORGEOUS property,https://sfbay.craigslist.org/scz/roo/d/aptos-large-roomprivate-entrance-to/6964375760.html,2019-08-25,10:59,$875,aptos,True,False,None,None,None
California,sfbay,scz,rooms & shares,6951319014,6575949392,$1000 Furnished bright & sunny room!,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-1000-furnished-bright-sunny/6951319014.html,2019-08-25,08:25,$1000,santa cruz,True,False,None,None,None
California,sfbay,scz,rooms & shares,6952357979,6575949392,"$975 Furnished, bright & sunny room",https://sfbay.craigslist.org/scz/roo/d/santa-cruz-975-furnished-bright-sunny/6952357979.html,2019-08-25,08:24,$975,santa cruz,True,False,None,None,None
California,sfbay,scz,rooms & shares,6955569893,5761971962,Large Private Bedrooms w/ Full Baths... All Utilities Included,https://sfbay.craigslist.org/scz/roo/d/large-private-bedrooms-full-baths-all/6955569893.html,2019-08-24,22:11,$1000,watsonville,True,False,None,None,320ft2
California,sfbay,scz,rooms & shares,6962597682,None,Beautiful room—Half mile from UCSC—Cohousing community,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-beautiful-roomhalf-mile-from/6962597682.html,2019-08-24,21:45,$695,santa cruz,True,False,None,None,170ft2
California,sfbay,scz,rooms & shares,6953141346,6104072363,"Bedroom, detached",https://sfbay.craigslist.org/scz/roo/d/bedroom-detached/6953141346.html,2019-08-24,20:19,$900,aptos,True,False,None,None,23ft2
California,sfbay,scz,rooms & shares,6964094494,None,Room for rent in Seabright area,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-room-for-rent-in-seabright/6964094494.html,2019-08-24,19:21,$1000,santa cruz,True,False,None,None,None
California,sfbay,scz,rooms & shares,6962602062,None,"Clean, large, sunny, private room, hardwood floors, own entrance",https://sfbay.craigslist.org/scz/roo/d/santa-cruz-clean-large-sunny-private/6962602062.html,2019-08-24,18:08,$950,santa cruz,True,False,None,None,210ft2
California,sfbay,scz,rooms & shares,6964062748,6867729307,Live Oak has open bedroom,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-live-oak-has-open-bedroom/6964062748.html,2019-08-24,17:56,$850,santa cruz,True,False,None,None,None
California,sfbay,scz,rooms & shares,6957706912,6660775081,Room For Rent Avail August 1st on the Lower Westside - Women only,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-room-for-rent-avail-august/6957706912.html,2019-08-24,16:38,$900,santa cruz,True,False,None,None,None
California,sfbay,scz,rooms & shares,6964022956,6950075917,Earth Friendly Kind-Hearted Clean Vegan or Vegetarian,https://sfbay.craigslist.org/scz/roo/d/aptos-earth-friendly-kind-hearted-clean/6964022956.html,2019-08-24,16:34,$950,aptos,True,False,None,None,140ft2
California,sfbay,scz,rooms & shares,6963912119,5114543298,Furnished Room in Seaview Ranch Home,https://sfbay.craigslist.org/scz/roo/d/furnished-room-in-seaview-ranch-home/6963912119.html,2019-08-24,13:37,$875,watsonville,True,False,None,None,110ft2
California,sfbay,scz,rooms & shares,6959530751,None,2 Rooms for Rent - $700.00 & $750.00 Great Location!,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-2-rooms-for-rent-great/6959530751.html,2019-08-24,13:35,$750,santa cruz,True,False,None,None,120ft2
California,sfbay,scz,rooms & shares,6963771574,None,"Nice Room near UCSC, Downtown & Beach",https://sfbay.craigslist.org/scz/roo/d/santa-cruz-nice-room-near-ucsc-downtown/6963771574.html,2019-08-24,10:48,$950,santa cruz,True,False,None,None,132ft2
