Area,CL District,CL Region,CL State,Date Posted,Housing Category,Location,Price,Time Posted,Title,URL
None,eby,sfbay,California,2019-09-09,rooms & shares,berkeley,775.0,16:03,Single Room in a House of graduate students/young professionals,https://sfbay.craigslist.org/eby/roo/d/berkeley-single-room-in-house-of/6975174469.html
None,sfc,sfbay,California,2019-09-09,rooms & shares,richmond / seacliff,850.0,14:53,private room in 2bed/1bath,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-private-room-in-2bed-1bath/6975123663.html
170ft2,eby,sfbay,California,2019-09-09,rooms & shares,berkeley,600.0,13:31,"Clean, Quiet, Furnished Room for Male UCB Student",https://sfbay.craigslist.org/eby/roo/d/berkeley-clean-quiet-furnished-room-for/6975053602.html
800ft2,sfc,sfbay,California,2019-09-08,rooms & shares,inner richmond,900.0,04:02,October and November Sublet,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-october-and-november/6973975157.html
1800ft2,eby,sfbay,California,2019-09-05,rooms & shares,oakland hills / mills,575.0,09:12,SHORT STAY on the GULF COAST - NO DEPOSIT plus ALL UTILITIES INCLUDED,https://sfbay.craigslist.org/eby/roo/d/oakland-short-stay-on-the-gulf-coast-no/6971991597.html
None,eby,sfbay,California,9/3/19,sublets & temporary,berkeley,800.0,11:13,Room in North Berkeley Craftsman - September 10-30 sublet,https://sfbay.craigslist.org/eby/sub/d/berkeley-room-in-north-berkeley/6970591797.html
None,eby,sfbay,California,9/2/19,rooms & shares,oakland lake merritt / grand,750.0,22:10,spacious eastlake sublet,https://sfbay.craigslist.org/eby/roo/d/oakland-spacious-eastlake-sublet/6970232980.html
120ft2,eby,sfbay,California,2019-09-08,sublets & temporary,oakland west,800.0,07:17,"2 blks to WO BART, quiet and sunny Private room",https://sfbay.craigslist.org/eby/sub/d/oakland-2-blks-to-wo-bart-quiet-and/6974042677.html
None,sfc,sfbay,California,2019-09-07,rooms & shares,richmond / seacliff,550.0,17:48,Furnished & Renovated 3 bed 2.5 bath. Clean & Cozy,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-furnished-renovated-3-bed/6973849591.html
288ft2,eby,sfbay,California,2019-09-05,rooms & shares,oakland downtown,500.0,18:01,Short term Room for Rent in Bohemian Artist Loft close to everything.,https://sfbay.craigslist.org/eby/roo/d/oakland-short-term-room-for-rent-in/6972407286.html
