Area,CL District,CL Region,CL State,Date Posted,Housing Category,Location,Price,Time Posted,Title,URL,Title Key,Num Time
None,eby,sfbay,California,2019-08-29,sublets & temporary,oakland west,800.0,15:28,Furnished West Oakland 1 bdrm sublet,https://sfbay.craigslist.org/eby/sub/d/oakland-furnished-west-oakland-1-bdrm/6967521381.html,Furnished West Oakland 1 bdrm sublet _ oakland west,15
850ft2,eby,sfbay,California,2019-08-29,sublets & temporary,oakland west,750.0,12:00,Sublet Offered - Private Room - 1 Month - 9/15-10/15 (flexible dates),https://sfbay.craigslist.org/eby/sub/d/oakland-sublet-offered-private-room-1/6967359507.html,Sublet Offered - Private Room - 1 Month - 9/15-10/15 (flexible dates) _ oakland west,12
None,eby,sfbay,California,2019-08-29,rooms & shares,oakland east,550.0,12:44,(*.*) rooms and shares 2 phong cho thue,https://sfbay.craigslist.org/eby/roo/d/rooms-and-shares-2-phong-cho-thue/6962008594.html,(*.*) rooms and shares 2 phong cho thue _ oakland east,12
None,eby,sfbay,California,2019-08-29,rooms & shares,oakland east,550.0,10:40,Small Commuter Room by BART & Freeway,https://sfbay.craigslist.org/eby/roo/d/oakland-small-commuter-room-by-bart/6967288258.html,Small Commuter Room by BART & Freeway _ oakland east,10
None,eby,sfbay,California,2019-08-29,rooms & shares,berkeley,550.0,10:58,Tastefully Beatuful 1 Bedroom 1 Bath in a 2bd Apartment - W/D ensuite,https://sfbay.craigslist.org/eby/roo/d/berkeley-tastefully-beatuful-1-bedroom/6967197484.html,Tastefully Beatuful 1 Bedroom 1 Bath in a 2bd Apartment - W/D ensuite _ berkeley,10
None,eby,sfbay,California,2019-08-29,rooms & shares,berkeley,795.0,10:20,Large room in very quiet two bedroom apt (Channing & Shattuck),https://sfbay.craigslist.org/eby/roo/d/berkeley-large-room-in-very-quiet-two/6967269606.html,Large room in very quiet two bedroom apt (Channing & Shattuck) _ berkeley,10
None,eby,sfbay,California,2019-08-29,rooms & shares,richmond / point / annex,760.0,08:41,SUNNY BIG ROOM FOR RENT OCT 1,https://sfbay.craigslist.org/eby/roo/d/richmond-sunny-big-room-for-rent-oct-1/6959525891.html,SUNNY BIG ROOM FOR RENT OCT 1 _ richmond / point / annex,8
None,eby,sfbay,California,2019-08-29,rooms & shares,oakland east,750.0,07:58,Mature working FM wanted for quiet room,https://sfbay.craigslist.org/eby/roo/d/oakland-mature-working-fm-wanted-for/6960771061.html,Mature working FM wanted for quiet room _ oakland east,7
None,eby,sfbay,California,2019-08-29,rooms & shares,oakland hills / mills,720.0,06:23,Come live with us!,https://sfbay.craigslist.org/eby/roo/d/oakland-come-live-with-us/6967079555.html,Come live with us! _ oakland hills / mills,6
None,eby,sfbay,California,2019-08-28,rooms & shares,oakland east,660.0,20:09,HUGE upstairs room wi/ private bath- overnights OK!,https://sfbay.craigslist.org/eby/roo/d/oakland-huge-upstairs-room-wi-private/6966957014.html,HUGE upstairs room wi/ private bath- overnights OK! _ oakland east,20
150ft2,eby,sfbay,California,2019-08-28,rooms & shares,berkeley,700.0,20:50,Sunny bedroom in designer home,https://sfbay.craigslist.org/eby/roo/d/berkeley-sunny-bedroom-in-designer-home/6966969775.html,Sunny bedroom in designer home _ berkeley,20
None,eby,sfbay,California,2019-08-28,rooms & shares,oakland east,650.0,19:59,CO-HOUSING In the Fruitvale. Big Community Place. Private room!,https://sfbay.craigslist.org/eby/roo/d/oakland-co-housing-in-the-fruitvale-big/6947490297.html,CO-HOUSING In the Fruitvale. Big Community Place. Private room! _ oakland east,19
None,eby,sfbay,California,2019-08-28,rooms & shares,richmond / point / annex,700.0,19:18,Spacious Room in Garage available 9/1,https://sfbay.craigslist.org/eby/roo/d/san-pablo-spacious-room-in-garage/6966937678.html,Spacious Room in Garage available 9/1 _ richmond / point / annex,19
400ft2,eby,sfbay,California,2019-08-28,rooms & shares,oakland east,700.0,18:50,Se renta habitacion,https://sfbay.craigslist.org/eby/roo/d/oakland-se-renta-habitacion/6964078030.html,Se renta habitacion _ oakland east,18
400ft2,eby,sfbay,California,2019-08-28,rooms & shares,oakland east,700.0,18:50,"Sunny, nice and Warm = $700",https://sfbay.craigslist.org/eby/roo/d/sunny-nice-and-warm-700/6964078198.html,"Sunny, nice and Warm = $700 _ oakland east",18
None,eby,sfbay,California,2019-08-28,rooms & shares,oakland hills / mills,795.0,18:10,nice upstairs room with a view,https://sfbay.craigslist.org/eby/roo/d/oakland-nice-upstairs-room-with-view/6955753256.html,nice upstairs room with a view _ oakland hills / mills,18
120ft2,eby,sfbay,California,2019-08-28,rooms & shares,oakland east,750.0,17:02,Backyard Room For Rent,https://sfbay.craigslist.org/eby/roo/d/oakland-backyard-room-for-rent/6954177052.html,Backyard Room For Rent _ oakland east,17
None,eby,sfbay,California,2019-08-28,rooms & shares,richmond / point / annex,720.0,14:45,Room for rent,https://sfbay.craigslist.org/eby/roo/d/richmond-room-for-rent/6966784808.html,Room for rent _ richmond / point / annex,14
None,eby,sfbay,California,2019-08-28,rooms & shares,oakland east,750.0,13:10,Private rooms for rent San Antonio Park,https://sfbay.craigslist.org/eby/roo/d/oakland-private-rooms-for-rent-san/6963780298.html,Private rooms for rent San Antonio Park _ oakland east,13
125ft2,sfc,sfbay,California,2019-08-28,rooms & shares,inner richmond,890.0,13:51,Private medium size room w/parking available now,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-private-medium-size-room/6964619109.html,Private medium size room w/parking available now _ inner richmond,13
None,eby,sfbay,California,2019-08-28,rooms & shares,richmond / point / annex,730.0,10:40,Cuarto en renta,https://sfbay.craigslist.org/eby/roo/d/richmond-cuarto-en-renta/6966575493.html,Cuarto en renta _ richmond / point / annex,10
110ft2,eby,sfbay,California,2019-08-28,rooms & shares,richmond / point / annex,650.0,09:28,Sunny and Quiet Room - Furnished; Light Kitchen Use  - See it Soon.,https://sfbay.craigslist.org/eby/roo/d/san-pablo-sunny-and-quiet-room/6952056334.html,Sunny and Quiet Room - Furnished; Light Kitchen Use  - See it Soon. _ richmond / point / annex,9
1000ft2,eby,sfbay,California,2019-08-28,rooms & shares,oakland north / temescal,775.0,07:05,Occupy my Living Room,https://sfbay.craigslist.org/eby/roo/d/oakland-occupy-my-living-room/6963605213.html,Occupy my Living Room _ oakland north / temescal,7
72ft2,eby,sfbay,California,2019-08-27,sublets & temporary,albany / el cerrito,750.0,13:24,"Single room, 10 min EC BART, avail Sept 1",https://sfbay.craigslist.org/eby/sub/d/el-cerrito-single-room-10-min-ec-bart/6962281576.html,"Single room, 10 min EC BART, avail Sept 1 _ albany / el cerrito",13
72ft2,eby,sfbay,California,2019-08-27,rooms & shares,albany / el cerrito,750.0,13:23,"Quiet, nicely furnished single10 min Plaza BART, available Sept 2019",https://sfbay.craigslist.org/eby/roo/d/el-cerrito-quiet-nicely-furnished/6962285410.html,"Quiet, nicely furnished single10 min Plaza BART, available Sept 2019 _ albany / el cerrito",13
None,eby,sfbay,California,2019-08-27,rooms & shares,berkeley,540.0,12:05,Beautiful house with Nice Size Room.All Utilities Paid,https://sfbay.craigslist.org/eby/roo/d/berkeley-beautiful-house-with-nice-size/6965813701.html,Beautiful house with Nice Size Room.All Utilities Paid _ berkeley,12
290ft2,eby,sfbay,California,2019-08-27,rooms & shares,richmond / point / annex,690.0,12:38,690 UNFURNISHED ROOM! YOU CANT BEAT THAT! AVAILABLE NOW!!!,https://sfbay.craigslist.org/eby/roo/d/richmond-690-unfurnished-room-you-cant/6962674667.html,690 UNFURNISHED ROOM! YOU CANT BEAT THAT! AVAILABLE NOW!!! _ richmond / point / annex,12
96ft2,eby,sfbay,California,2019-08-26,rooms & shares,Allendale neighborhood Oakland,700.0,20:34,Room for rent $700 p/m,https://sfbay.craigslist.org/eby/roo/d/oakland-room-for-rent-700-m/6962489348.html,Room for rent $700 p/m _ Allendale neighborhood Oakland,20
None,eby,sfbay,California,2019-08-26,rooms & shares,oakland west,671.0,20:07,Room available in 5 bedroom West Oakland duplex,https://sfbay.craigslist.org/eby/roo/d/oakland-room-available-in-5-bedroom/6965482433.html,Room available in 5 bedroom West Oakland duplex _ oakland west,20
None,sfc,sfbay,California,2019-08-26,rooms & shares,inner richmond,830.0,17:33,Private room with chill housemates,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-private-room-with-chill/6965405298.html,Private room with chill housemates _ inner richmond,17
None,eby,sfbay,California,2019-08-25,rooms & shares,richmond / point / annex,650.0,16:08,$650 cheap room for rent便宜房间,https://sfbay.craigslist.org/eby/roo/d/richmond-650-cheap-room-for-rent/6964596844.html,$650 cheap room for rent便宜房间 _ richmond / point / annex,16
None,eby,sfbay,California,2019-08-25,rooms & shares,berkeley,750.0,12:08,Room available in cute apartment near Ashby Bart,https://sfbay.craigslist.org/eby/roo/d/berkeley-room-available-in-cute/6964438585.html,Room available in cute apartment near Ashby Bart _ berkeley,12
